datetime,Article Count,All Articles,keyword
2020-03-27 00:00:00+00:00,143,511780,Green Deal
2020-03-28 00:00:00+00:00,67,318590,Green Deal
2020-03-29 00:00:00+00:00,57,294367,Green Deal
2020-03-30 00:00:00+00:00,108,494278,Green Deal
2020-03-31 00:00:00+00:00,109,536528,Green Deal
2020-04-01 00:00:00+00:00,155,526181,Green Deal
2020-04-02 00:00:00+00:00,131,526650,Green Deal
2020-04-03 00:00:00+00:00,143,489506,Green Deal
2020-04-04 00:00:00+00:00,112,314741,Green Deal
2020-04-05 00:00:00+00:00,51,278845,Green Deal
2020-04-06 00:00:00+00:00,130,466453,Green Deal
2020-04-07 00:00:00+00:00,136,502840,Green Deal
2020-04-08 00:00:00+00:00,547,505760,Green Deal
2020-04-09 00:00:00+00:00,340,491531,Green Deal
2020-04-10 00:00:00+00:00,135,429373,Green Deal
2020-04-11 00:00:00+00:00,80,296128,Green Deal
2020-04-12 00:00:00+00:00,86,265057,Green Deal
2020-04-13 00:00:00+00:00,127,406443,Green Deal
2020-04-14 00:00:00+00:00,139,489924,Green Deal
2020-04-15 00:00:00+00:00,133,501959,Green Deal
2020-04-16 00:00:00+00:00,171,509304,Green Deal
2020-04-17 00:00:00+00:00,126,480693,Green Deal
2020-04-18 00:00:00+00:00,60,304292,Green Deal
2020-04-19 00:00:00+00:00,52,275929,Green Deal
2020-04-20 00:00:00+00:00,122,449779,Green Deal
2020-04-21 00:00:00+00:00,303,493907,Green Deal
2020-04-22 00:00:00+00:00,353,508327,Green Deal
2020-04-23 00:00:00+00:00,177,511941,Green Deal
2020-04-24 00:00:00+00:00,137,485132,Green Deal
2020-04-25 00:00:00+00:00,67,302795,Green Deal
2020-04-26 00:00:00+00:00,57,280277,Green Deal
2020-04-27 00:00:00+00:00,101,458976,Green Deal
2020-04-28 00:00:00+00:00,146,498612,Green Deal
2020-04-29 00:00:00+00:00,110,501705,Green Deal
2020-04-30 00:00:00+00:00,171,505330,Green Deal
2020-05-01 00:00:00+00:00,359,400582,Green Deal
2020-05-02 00:00:00+00:00,50,290042,Green Deal
2020-05-03 00:00:00+00:00,37,268470,Green Deal
2020-05-04 00:00:00+00:00,117,433281,Green Deal
2020-05-05 00:00:00+00:00,123,478705,Green Deal
2020-05-06 00:00:00+00:00,185,497321,Green Deal
2020-05-07 00:00:00+00:00,101,497932,Green Deal
2020-05-08 00:00:00+00:00,137,477019,Green Deal
2020-05-09 00:00:00+00:00,92,310997,Green Deal
2020-05-10 00:00:00+00:00,52,270463,Green Deal
